Portfolios-100-2-uniform-500-randomAdd-0.010000-elite-0.300000-1
0-96--1 [ 1.000000, 1.000000 ]
52-98-88 [ 0.531770, 1.310428 ]
53-74-98 [ 1.410507, 0.102318 ]
54-82-74 [ 0.595857, 1.282558 ]
55-93-82 [ 0.919601, 1.074399 ]
56-93-93 [ 1.247802, 0.665575 ]
57-86-93 [ 0.930717, 1.064785 ]
58-99-86 [ 1.339474, 0.453662 ]
59-72-99 [ 1.320470, 0.506319 ]
60-74-72 [ 1.369293, 0.353604 ]
61-84-74 [ 1.382389, 0.298329 ]
62-92-84 [ 1.188753, 0.766073 ]
63-74-92 [ 1.267960, 0.626320 ]
64-80-74 [ 0.712655, 1.221525 ]
65-91-80 [ 0.442191, 1.343305 ]
66-99-91 [ 1.054265, 0.942616 ]
67-89-99 [ 1.358271, 0.393829 ]
68-94-89 [ 0.166440, 1.404385 ]
69-79-94 [ 0.626822, 1.267712 ]
70-77-79 [ 1.082743, 0.909763 ]
71-88-77 [ 0.647101, 1.257482 ]
72-93-88 [ 1.312444, 0.526775 ]
73-78-93 [ 0.607261, 1.277198 ]
74-88-78 [ 0.642140, 1.260022 ]
75-89-88 [ 1.170228, 0.794082 ]
76-93-89 [ 1.413291, 0.051086 ]
77-89-93 [ 0.934213, 1.061718 ]
78-98-89 [ 1.279409, 0.602588 ]
79-71-98 [ 0.831001, 1.144306 ]
80-77-71 [ 1.368123, 0.358104 ]
81-96-77 [ 0.792809, 1.171091 ]
82-80-96 [ 1.344905, 0.437299 ]
83-93-80 [ 1.354602, 0.406267 ]
84-76-93 [ 1.409860, 0.110881 ]
85-71-76 [ 0.789978, 1.173003 ]
86-87-71 [ 1.397084, 0.219445 ]
87-97-87 [ 0.627002, 1.267623 ]
88-86-97 [ 0.867120, 1.117185 ]
89-97-86 [ 1.247098, 0.666893 ]
90-93-97 [ 0.863888, 1.119687 ]
91-92-93 [ 1.295873, 0.566316 ]
92-71-92 [ 0.735644, 1.207820 ]
93-80-71 [ 1.080111, 0.912885 ]
94-94-80 [ 0.983090, 1.016629 ]
95-85-94 [ 1.410798, 0.098236 ]
96-86-85 [ 1.126293, 0.855256 ]
97-83-86 [ 0.550584, 1.302635 ]
98-95-83 [ 0.546452, 1.304374 ]
99-88-95 [ 0.818598, 1.153212 ]
100-96-88 [ 0.505419, 1.320815 ]
101-100-96 [ 1.202274, 0.744673 ]
102-81-100 [ 1.361439, 0.382733 ]
103-89-81 [ 1.409580, 0.114380 ]
104-71-89 [ 1.056201, 0.940447 ]
105-90-71 [ 0.698316, 1.229778 ]
106-74-90 [ 1.347517, 0.429181 ]
107-94-74 [ 1.349064, 0.424294 ]
108-80-94 [ 1.225159, 0.706389 ]
109-79-80 [ 0.291768, 1.383789 ]
110-76-79 [ 0.178705, 1.402877 ]
111-93-76 [ 0.626036, 1.268100 ]
112-80-93 [ 0.068860, 1.412536 ]
113-88-80 [ 1.146557, 0.827893 ]
114-80-88 [ 1.271191, 0.619737 ]
115-84-80 [ 0.653821, 1.254001 ]
116-74-84 [ 1.303517, 0.548492 ]
117-96-74 [ 1.133069, 0.846260 ]
118-76-96 [ 0.633161, 1.264558 ]
119-92-76 [ 1.130969, 0.849064 ]
120-71-92 [ 1.018612, 0.981035 ]
121-83-71 [ 0.293403, 1.383443 ]
122-77-83 [ 0.392181, 1.358747 ]
123-92-77 [ 1.393700, 0.240003 ]
124-78-92 [ 1.257269, 0.647513 ]
125-80-78 [ 0.366736, 1.365835 ]
126-74-80 [ 1.037282, 0.961273 ]
127-98-74 [ 1.224285, 0.707903 ]
128-83-98 [ 1.132300, 0.847288 ]
129-75-83 [ 0.794605, 1.169873 ]
130-100-75 [ 0.918203, 1.075594 ]
131-76-100 [ 1.323595, 0.498093 ]
132-75-76 [ 0.182604, 1.402375 ]
133-99-75 [ 0.110167, 1.409916 ]
134-94-99 [ 1.309459, 0.534151 ]
135-82-94 [ 1.262364, 0.637524 ]
136-86-82 [ 0.497742, 1.323727 ]
137-75-86 [ 0.286266, 1.384937 ]
138-99-75 [ 1.351639, 0.416018 ]
139-92-99 [ 0.659931, 1.250796 ]
140-97-92 [ 1.381795, 0.301071 ]
141-96-97 [ 1.405624, 0.155634 ]
142-99-96 [ 0.734331, 1.208618 ]
143-95-99 [ 1.122330, 0.860450 ]
144-97-95 [ 1.319206, 0.509604 ]
145-74-97 [ 1.073236, 0.920959 ]
146-79-74 [ 0.356589, 1.368519 ]
147-82-79 [ 1.410955, 0.095955 ]
148-98-82 [ 0.206024, 1.399126 ]
149-73-98 [ 1.259647, 0.642877 ]
150-99-73 [ 0.431677, 1.346720 ]
151-93-99 [ 1.196660, 0.753661 ]
152-91-93 [ 0.690419, 1.234229 ]
153-79-91 [ 1.303221, 0.549195 ]
154-91-79 [ 1.288192, 0.583576 ]
155-78-91 [ 0.711415, 1.222247 ]
156-76-78 [ 1.171941, 0.791552 ]
157-90-76 [ 1.121978, 0.860910 ]
158-72-90 [ 1.202302, 0.744628 ]
159-84-72 [ 1.408184, 0.130447 ]
160-82-84 [ 1.231140, 0.695912 ]
161-88-82 [ 1.339606, 0.453271 ]
162-82-88 [ 0.778686, 1.180529 ]
163-78-82 [ 1.165004, 0.801727 ]
164-78-78 [ 1.353795, 0.408948 ]
165-73-78 [ 1.211518, 0.729536 ]
166-76-73 [ 1.280255, 0.600788 ]
167-95-76 [ 1.325554, 0.492855 ]
168-95-95 [ 1.413190, 0.053786 ]
169-97-95 [ 1.363578, 0.375039 ]
170-84-97 [ 0.981429, 1.018233 ]
171-74-84 [ 1.055439, 0.941302 ]
172-81-74 [ 1.271720, 0.618650 ]
173-95-81 [ 0.379568, 1.362325 ]
174-81-95 [ 0.184887, 1.402076 ]
175-75-81 [ 0.997961, 1.002035 ]
176-84-75 [ 0.626543, 1.267850 ]
177-94-84 [ 1.273521, 0.614934 ]
178-99-94 [ 1.031278, 0.967711 ]
179-84-99 [ 1.323846, 0.497426 ]
180-98-84 [ 1.021112, 0.978432 ]
181-90-98 [ 0.393365, 1.358405 ]
182-81-90 [ 0.533092, 1.309890 ]
183-86-81 [ 1.238670, 0.682419 ]
184-74-86 [ 1.388155, 0.270230 ]
185-99-74 [ 0.547804, 1.303806 ]
186-87-99 [ 0.356142, 1.368635 ]
187-80-87 [ 1.356084, 0.401292 ]
188-89-80 [ 0.567726, 1.295256 ]
189-84-89 [ 0.034303, 1.413797 ]
190-88-84 [ 0.871129, 1.114062 ]
191-82-88 [ 1.358203, 0.394062 ]
192-85-82 [ 1.232430, 0.693626 ]
193-86-85 [ 0.471448, 1.333318 ]
194-94-86 [ 1.376977, 0.322391 ]
195-86-94 [ 1.400023, 0.199837 ]
196-73-86 [ 0.614771, 1.273600 ]
197-77-73 [ 1.333419, 0.471162 ]
198-74-77 [ 1.228699, 0.700213 ]
199-94-74 [ 0.168776, 1.404106 ]
200-96-94 [ 0.635838, 1.263214 ]
201-80-96 [ 1.265694, 0.630887 ]
202-96-80 [ 1.050991, 0.946265 ]
203-89-96 [ 0.560831, 1.298256 ]
204-98-89 [ 0.675111, 1.242669 ]
205-72-98 [ 1.285487, 0.589512 ]
206-89-72 [ 0.611083, 1.275374 ]
207-76-89 [ 0.998298, 1.001699 ]
208-85-76 [ 0.410272, 1.353395 ]
209-80-85 [ 1.182878, 0.775113 ]
210-93-80 [ 0.479942, 1.330284 ]
211-78-93 [ 1.040904, 0.957350 ]
212-85-78 [ 0.338116, 1.373200 ]
213-85-85 [ 0.956026, 1.042120 ]
214-72-85 [ 1.199377, 0.749330 ]
215-97-72 [ 1.284499, 0.591662 ]
216-74-97 [ 1.248567, 0.664138 ]
217-78-74 [ 0.587582, 1.286370 ]
218-97-78 [ 0.332316, 1.374615 ]
219-95-97 [ 0.962494, 1.036149 ]
220-76-95 [ 0.612671, 1.274611 ]
221-89-76 [ 1.166821, 0.799080 ]
222-97-89 [ 0.417351, 1.351228 ]
223-100-97 [ 1.060512, 0.935583 ]
224-85-100 [ 1.103001, 0.885092 ]
225-87-85 [ 1.113693, 0.871601 ]
226-85-87 [ 0.691773, 1.233471 ]
227-77-85 [ 0.915222, 1.078132 ]
228-80-77 [ 1.183950, 0.773474 ]
229-97-80 [ 0.212189, 1.398205 ]
230-80-97 [ 0.072353, 1.412362 ]
231-89-80 [ 0.593741, 1.283539 ]
232-72-89 [ 0.960144, 1.038328 ]
233-71-72 [ 0.989942, 1.009958 ]
234-93-71 [ 0.419565, 1.350542 ]
235-90-93 [ 0.902350, 1.088928 ]
236-95-90 [ 1.341294, 0.448253 ]
237-83-95 [ 0.927140, 1.067901 ]
238-88-83 [ 1.011867, 0.987990 ]
239-89-88 [ 1.377138, 0.321699 ]
240-94-89 [ 0.152404, 1.405978 ]
241-72-94 [ 0.147645, 1.406485 ]
242-89-72 [ 0.829979, 1.145048 ]
243-92-89 [ 0.274495, 1.387318 ]
244-92-92 [ 1.228026, 0.701392 ]
245-97-92 [ 1.405502, 0.156729 ]
246-79-97 [ 1.183241, 0.774558 ]
247-93-79 [ 0.542416, 1.306057 ]
248-91-93 [ 0.750831, 1.198437 ]
249-82-91 [ 1.156007, 0.814646 ]
250-71-82 [ 0.485121, 1.328404 ]
251-81-71 [ 0.414835, 1.352003 ]
252-89-81 [ 1.216235, 0.721646 ]
253-75-89 [ 0.748905, 1.199642 ]
254-81-75 [ 1.318994, 0.510152 ]
255-90-81 [ 0.725248, 1.214091 ]
256-98-90 [ 0.756189, 1.195064 ]
257-91-98 [ 1.086103, 0.905749 ]
258-89-91 [ 0.899835, 1.091007 ]
259-75-89 [ 1.411495, 0.087649 ]
260-79-75 [ 0.340197, 1.372686 ]
261-89-79 [ 0.416362, 1.351534 ]
262-78-89 [ 1.271770, 0.618548 ]
263-97-78 [ 0.605096, 1.278225 ]
264-98-97 [ 0.142270, 1.407039 ]
265-90-98 [ 1.318840, 0.510551 ]
266-73-90 [ 0.991536, 1.008393 ]
267-85-73 [ 1.103487, 0.884487 ]
268-90-85 [ 0.952537, 1.045311 ]
269-96-90 [ 1.347785, 0.428339 ]
270-97-96 [ 1.402122, 0.184539 ]
271-100-97 [ 1.080788, 0.912084 ]
272-91-100 [ 0.985508, 1.014285 ]
273-77-91 [ 0.190847, 1.401277 ]
274-95-77 [ 0.897498, 1.092930 ]
275-77-95 [ 0.275546, 1.387110 ]
276-91-77 [ 0.986340, 1.013476 ]
277-94-91 [ 1.301428, 0.553430 ]
278-82-94 [ 1.381301, 0.303326 ]
279-92-82 [ 1.332183, 0.474646 ]
280-96-92 [ 0.998399, 1.001598 ]
281-73-96 [ 0.676564, 1.241878 ]
282-98-73 [ 1.334223, 0.468879 ]
283-94-98 [ 1.127888, 0.853152 ]
284-99-94 [ 1.344525, 0.438465 ]
285-78-99 [ 0.274454, 1.387327 ]
286-75-78 [ 0.026957, 1.413957 ]
287-99-75 [ 1.109926, 0.876393 ]
288-80-99 [ 0.797934, 1.167605 ]
289-95-80 [ 1.087126, 0.904520 ]
290-74-95 [ 1.413097, 0.056188 ]
291-97-74 [ 0.113522, 1.409650 ]
292-93-97 [ 0.798512, 1.167210 ]
293-88-93 [ 0.895483, 1.094582 ]
294-79-88 [ 1.038217, 0.960263 ]
295-75-79 [ 0.360875, 1.367395 ]
296-94-75 [ 0.134520, 1.407801 ]
297-77-94 [ 0.954724, 1.043313 ]
298-78-77 [ 0.985804, 1.013997 ]
299-86-78 [ 0.581442, 1.289157 ]
300-90-86 [ 1.411758, 0.083298 ]
301-81-90 [ 1.299241, 0.558545 ]
302-100-81 [ 0.779542, 1.179964 ]
303-82-100 [ 1.245777, 0.669358 ]
304-91-82 [ 1.316609, 0.516275 ]
305-79-91 [ 1.410700, 0.099632 ]
306-75-79 [ 0.357476, 1.368288 ]
307-89-75 [ 0.581706, 1.289038 ]
308-74-89 [ 1.326083, 0.491430 ]
309-99-74 [ 0.359944, 1.367640 ]
310-72-99 [ 1.362268, 0.379771 ]
311-82-72 [ 1.406556, 0.146967 ]
312-81-82 [ 0.677251, 1.241503 ]
313-87-81 [ 1.408908, 0.122381 ]
314-93-87 [ 1.359654, 0.389027 ]
315-98-93 [ 0.476764, 1.331426 ]
316-92-98 [ 0.499219, 1.323171 ]
317-81-92 [ 1.383981, 0.290856 ]
318-75-81 [ 1.257003, 0.648030 ]
319-99-75 [ 0.624063, 1.269072 ]
320-99-99 [ 1.045588, 0.952232 ]
321-71-99 [ 1.204483, 0.741094 ]
322-74-71 [ 1.297434, 0.562730 ]
323-73-74 [ 1.391702, 0.251330 ]
324-84-73 [ 0.838427, 1.138877 ]
325-93-84 [ 0.465915, 1.335261 ]
326-73-93 [ 1.056026, 0.940643 ]
327-87-73 [ 0.629490, 1.266389 ]
328-97-87 [ 1.277888, 0.605806 ]
329-83-97 [ 0.189680, 1.401436 ]
330-81-83 [ 0.897001, 1.093339 ]
331-79-81 [ 0.099843, 1.410685 ]
332-80-79 [ 1.392919, 0.244490 ]
333-96-80 [ 1.026954, 0.972300 ]
334-77-96 [ 1.350014, 0.421263 ]
335-84-77 [ 1.154697, 0.816501 ]
336-79-84 [ 0.368605, 1.365331 ]
337-71-79 [ 1.392089, 0.249176 ]
338-73-71 [ 1.336142, 0.463385 ]
339-71-73 [ 1.322404, 0.501247 ]
340-88-71 [ 0.255316, 1.390976 ]
341-94-88 [ 0.744554, 1.202348 ]
342-84-94 [ 0.621107, 1.270522 ]
343-73-84 [ 1.398942, 0.207274 ]
344-85-73 [ 1.154070, 0.817388 ]
345-78-85 [ 1.413748, 0.036270 ]
346-96-78 [ 0.699798, 1.228935 ]
347-89-96 [ 1.190694, 0.763051 ]
348-92-89 [ 0.758235, 1.193767 ]
349-100-92 [ 1.414213, 0.001235 ]
350-86-100 [ 1.414213, 0.000548 ]
351-86-86 [ 0.375901, 1.363341 ]
352-89-86 [ 1.051874, 0.945284 ]
353-98-89 [ 1.080700, 0.912188 ]
354-93-98 [ 0.498433, 1.323467 ]
355-72-93 [ 0.994428, 1.005541 ]
356-84-72 [ 0.582809, 1.288539 ]
357-74-84 [ 0.265604, 1.389048 ]
358-94-74 [ 0.468952, 1.334198 ]
359-89-94 [ 0.661723, 1.249849 ]
360-71-89 [ 0.308660, 1.380119 ]
361-91-71 [ 0.846927, 1.132570 ]
362-74-91 [ 0.508614, 1.319588 ]
363-76-74 [ 0.317600, 1.378089 ]
364-86-76 [ 1.315205, 0.519841 ]
365-80-86 [ 0.100145, 1.410663 ]
366-80-80 [ 1.207639, 0.735940 ]
367-92-80 [ 0.310113, 1.379794 ]
368-95-92 [ 1.399915, 0.200596 ]
369-87-95 [ 0.426687, 1.348309 ]
370-85-87 [ 1.356166, 0.401016 ]
371-99-85 [ 0.815785, 1.155204 ]
372-74-99 [ 1.347212, 0.430141 ]
373-86-74 [ 1.281108, 0.598967 ]
374-98-86 [ 0.425776, 1.348597 ]
375-75-98 [ 0.997398, 1.002595 ]
376-95-75 [ 0.900106, 1.090783 ]
377-98-95 [ 1.182164, 0.776201 ]
378-98-98 [ 1.360248, 0.386943 ]
379-99-98 [ 0.363417, 1.366722 ]
380-100-99 [ 1.286082, 0.588211 ]
381-80-100 [ 1.333023, 0.472281 ]
382-90-80 [ 0.366852, 1.365804 ]
383-92-90 [ 0.404094, 1.355252 ]
384-80-92 [ 0.894738, 1.095192 ]
385-94-80 [ 1.348819, 0.425074 ]
386-77-94 [ 0.872606, 1.112905 ]
387-82-77 [ 1.260060, 0.642066 ]
388-93-82 [ 1.355556, 0.403072 ]
389-74-93 [ 0.242578, 1.393254 ]
390-72-74 [ 0.546270, 1.304450 ]
391-71-72 [ 0.273346, 1.387545 ]
392-92-71 [ 1.354120, 0.407871 ]
393-79-92 [ 0.863588, 1.119918 ]
394-98-79 [ 0.094829, 1.411031 ]
395-85-98 [ 1.147326, 0.826827 ]
396-77-85 [ 1.063004, 0.932750 ]
397-94-77 [ 0.070141, 1.412473 ]
398-82-94 [ 1.267845, 0.626553 ]
399-87-82 [ 0.335255, 1.373901 ]
400-93-87 [ 0.964772, 1.034028 ]
401-74-93 [ 0.766167, 1.188692 ]
402-79-74 [ 1.090296, 0.900696 ]
403-94-79 [ 1.209457, 0.732948 ]
404-84-94 [ 1.366671, 0.363609 ]
405-97-84 [ 1.354338, 0.407147 ]
406-83-97 [ 0.871697, 1.113617 ]
407-98-83 [ 1.159292, 0.809964 ]
408-87-98 [ 1.049517, 0.947899 ]
409-85-87 [ 0.865039, 1.118797 ]
410-73-85 [ 0.795996, 1.168927 ]
411-94-73 [ 0.992988, 1.006963 ]
412-100-94 [ 1.384624, 0.287779 ]
413-73-100 [ 1.402304, 0.183148 ]
414-77-73 [ 0.597995, 1.281562 ]
415-83-77 [ 1.218027, 0.718618 ]
416-88-83 [ 1.078748, 0.914496 ]
417-87-88 [ 0.556292, 1.300207 ]
418-82-87 [ 0.643519, 1.259319 ]
419-74-82 [ 0.342885, 1.372017 ]
420-75-74 [ 1.140006, 0.836891 ]
421-84-75 [ 0.541483, 1.306444 ]
422-71-84 [ 1.413942, 0.027723 ]
423-94-71 [ 1.321249, 0.504282 ]
424-92-94 [ 0.302322, 1.381521 ]
425-71-92 [ 1.331993, 0.475180 ]
426-73-71 [ 1.271897, 0.618286 ]
427-83-73 [ 1.118953, 0.864838 ]
428-88-83 [ 1.384256, 0.289545 ]
429-86-88 [ 1.406191, 0.150423 ]
430-71-86 [ 1.221373, 0.712915 ]
431-78-71 [ 1.304373, 0.546452 ]
432-73-78 [ 0.214581, 1.397839 ]
433-79-73 [ 1.410193, 0.106557 ]
434-89-79 [ 0.785281, 1.176152 ]
435-97-89 [ 1.128281, 0.852632 ]
436-89-97 [ 0.513796, 1.317579 ]
437-73-89 [ 0.876963, 1.109475 ]
438-74-73 [ 0.837016, 1.139914 ]
439-97-74 [ 0.769462, 1.186561 ]
440-95-97 [ 0.942385, 1.054472 ]
441-78-95 [ 1.201966, 0.745169 ]
442-95-78 [ 0.970371, 1.028776 ]
443-72-95 [ 1.250208, 0.661045 ]
444-97-72 [ 0.650844, 1.255548 ]
445-100-97 [ 1.164486, 0.802479 ]
446-87-100 [ 1.316561, 0.516399 ]
447-77-87 [ 1.404558, 0.164978 ]
448-77-77 [ 0.253089, 1.391383 ]
449-84-77 [ 1.401207, 0.191364 ]
450-98-84 [ 0.429508, 1.347413 ]
451-79-98 [ 1.088202, 0.903225 ]
452-88-79 [ 0.826487, 1.147571 ]
453-78-88 [ 1.379221, 0.312649 ]
454-81-78 [ 0.596822, 1.282109 ]
455-88-81 [ 0.505096, 1.320938 ]
456-92-88 [ 0.136265, 1.407633 ]
457-88-92 [ 1.325148, 0.493946 ]
458-89-88 [ 0.778679, 1.180533 ]
459-95-89 [ 0.774979, 1.182966 ]
460-77-95 [ 0.494530, 1.324930 ]
461-100-77 [ 1.230708, 0.696676 ]
462-78-100 [ 0.982218, 1.017471 ]
463-77-78 [ 0.824817, 1.148772 ]
464-83-77 [ 0.731675, 1.210228 ]
465-85-83 [ 1.291679, 0.575817 ]
466-76-85 [ 1.054396, 0.942469 ]
467-88-76 [ 0.803703, 1.163641 ]
468-90-88 [ 0.574143, 1.292424 ]
469-73-90 [ 0.867187, 1.117133 ]
470-86-73 [ 1.388966, 0.266031 ]
471-71-86 [ 0.736253, 1.207449 ]
472-96-71 [ 0.297403, 1.382589 ]
473-78-96 [ 1.202667, 0.744038 ]
474-86-78 [ 0.153703, 1.405836 ]
475-93-86 [ 0.316133, 1.378427 ]
476-78-93 [ 1.135918, 0.842431 ]
477-91-78 [ 1.292935, 0.572991 ]
478-95-91 [ 1.111010, 0.875018 ]
479-72-95 [ 1.151821, 0.820554 ]
480-72-72 [ 1.334877, 0.467015 ]
481-89-72 [ 0.101407, 1.410573 ]
482-71-89 [ 0.592107, 1.284293 ]
483-73-71 [ 0.935346, 1.060720 ]
484-85-73 [ 0.636727, 1.262766 ]
485-86-85 [ 1.412003, 0.079048 ]
486-94-86 [ 1.356614, 0.399499 ]
487-89-94 [ 1.413583, 0.042215 ]
488-92-89 [ 1.413592, 0.041909 ]
489-99-92 [ 1.348554, 0.425913 ]
490-93-99 [ 0.934036, 1.061874 ]
491-95-93 [ 0.404810, 1.355038 ]
492-77-95 [ 1.407271, 0.139958 ]
493-86-77 [ 1.319657, 0.508433 ]
494-96-86 [ 1.398455, 0.210529 ]
495-71-96 [ 1.400054, 0.199622 ]
496-87-71 [ 1.096230, 0.893465 ]
497-94-87 [ 0.247930, 1.392311 ]
498-84-94 [ 1.302659, 0.550528 ]
499-85-84 [ 1.392133, 0.248929 ]
500-100-85 [ 0.803134, 1.164034 ]
500-99-82 [ 1.356562, 0.399675 ]
500-98-97 [ 0.380137, 1.362166 ]
500-97-96 [ 0.887819, 1.100808 ]
500-96-90 [ 0.956247, 1.041917 ]
500-95-84 [ 0.551537, 1.302232 ]
500-94-83 [ 0.834087, 1.142059 ]
500-93-87 [ 0.750319, 1.198758 ]
500-92-77 [ 1.343605, 0.441276 ]
500-91-100 [ 1.404630, 0.164363 ]
500-90-77 [ 1.318435, 0.511595 ]
500-89-75 [ 1.412904, 0.060851 ]
500-88-84 [ 0.701721, 1.227839 ]
500-87-98 [ 0.299829, 1.382065 ]
500-86-90 [ 0.646947, 1.257561 ]
500-85-91 [ 0.667157, 1.246957 ]
500-84-74 [ 0.577708, 1.290835 ]
500-83-96 [ 0.807806, 1.160797 ]
500-82-73 [ 1.362150, 0.380192 ]
500-81-78 [ 0.646222, 1.257934 ]
500-80-89 [ 1.077058, 0.916486 ]
500-79-85 [ 1.121935, 0.860966 ]
500-78-99 [ 1.310445, 0.531728 ]
500-77-77 [ 0.762866, 1.190813 ]
500-76-89 [ 1.393388, 0.241803 ]
500-75-87 [ 0.958429, 1.039911 ]
500-74-83 [ 1.414108, 0.017300 ]
500-73-90 [ 0.633891, 1.264192 ]
500-72-87 [ 1.322110, 0.502021 ]
500-71-78 [ 0.741774, 1.204064 ]
500-70-90 [ 1.351271, 0.417212 ]
500-69-85 [ 0.594884, 1.283009 ]
500-68-82 [ 0.730788, 1.210764 ]
500-67-84 [ 0.891621, 1.097730 ]
500-66-99 [ 0.968614, 1.030431 ]
500-65-89 [ 1.255233, 0.651453 ]
500-64-91 [ 1.214546, 0.724484 ]
500-63-97 [ 0.412308, 1.352776 ]
500-62-72 [ 1.361521, 0.382440 ]
500-61-82 [ 1.320886, 0.505233 ]
500-60-74 [ 0.621227, 1.270463 ]
500-59-78 [ 0.515825, 1.316786 ]
500-58-98 [ 0.426045, 1.348513 ]
500-57-91 [ 0.176356, 1.403174 ]
500-56-90 [ 1.367223, 0.361525 ]
500-55-99 [ 1.366754, 0.363297 ]
500-54-85 [ 0.627658, 1.267298 ]
500-53-72 [ 0.895513, 1.094557 ]
500-52-78 [ 0.438847, 1.344401 ]
500-51-82 [ 1.357846, 0.395289 ]
500-50-77 [ 1.394466, 0.235512 ]
500-49-96 [ 1.059987, 0.936177 ]
500-48-75 [ 0.957510, 1.040757 ]
500-47-76 [ 1.413310, 0.050552 ]
500-46-80 [ 0.059948, 1.412942 ]
500-45-83 [ 1.268792, 0.624633 ]
500-44-88 [ 1.165496, 0.801012 ]
500-43-76 [ 1.413155, 0.054706 ]
500-42-86 [ 0.797484, 1.167912 ]
500-41-97 [ 0.300984, 1.381814 ]
500-40-94 [ 0.660378, 1.250560 ]
500-39-84 [ 0.988417, 1.011450 ]
500-38-85 [ 1.312840, 0.525785 ]
500-37-90 [ 1.337772, 0.458656 ]
500-36-79 [ 1.394688, 0.234192 ]
500-35-73 [ 1.162714, 0.805044 ]
500-34-84 [ 0.920436, 1.073684 ]
500-33-92 [ 1.400928, 0.193393 ]
500-32-97 [ 0.917542, 1.076158 ]
500-31-84 [ 1.335355, 0.465648 ]
500-30-100 [ 0.881503, 1.105872 ]
500-29-96 [ 1.398226, 0.212049 ]
500-28-76 [ 1.412948, 0.059806 ]
500-27-92 [ 0.755782, 1.195321 ]
500-26-97 [ 1.182879, 0.775111 ]
500-25-71 [ 1.041544, 0.956653 ]
500-24-97 [ 1.186783, 0.769120 ]
500-23-83 [ 1.413909, 0.029365 ]
500-22-93 [ 1.408740, 0.124307 ]
500-21-85 [ 1.142308, 0.833746 ]
500-20-73 [ 0.790574, 1.172601 ]
500-19-82 [ 1.321035, 0.504843 ]
500-18-88 [ 0.524178, 1.313483 ]
500-17-73 [ 0.821300, 1.151289 ]
500-16-95 [ 1.316667, 0.516128 ]
500-15-97 [ 0.761895, 1.191434 ]
500-14-88 [ 1.130790, 0.849302 ]
500-13-73 [ 1.251374, 0.658835 ]
500-12-76 [ 1.413575, 0.042501 ]
500-11-100 [ 0.898564, 1.092055 ]
500-10-76 [ 1.413331, 0.049941 ]
500-9-91 [ 0.563423, 1.297133 ]
500-8-96 [ 0.786409, 1.175398 ]
500-7-83 [ 0.975958, 1.023478 ]
500-6-88 [ 1.075976, 0.917756 ]
500-5-98 [ 1.199833, 0.748599 ]
500-4-87 [ 1.379698, 0.310538 ]
500-3-90 [ 1.163180, 0.804370 ]
500-2-96 [ 1.408599, 0.125889 ]
500-1-82 [ 0.659291, 1.251134 ]
